transaction_id,policy_id,premium_month,premium_due,premium_paid,payment_status,payment_date,source_file,load_timestamp,integrity_failure_reason
TXN00000317,POL000046,2026-01-01,135.84,135.84,Paid,2026-01-06,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000318,POL000046,2026-02-01,135.84,135.84,Paid,2026-02-06,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000319,POL000046,2026-03-01,135.84,135.84,Paid,2026-03-02,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000320,POL000046,2026-04-01,135.84,135.84,Paid,2026-04-07,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000321,POL000046,2026-05-01,135.84,135.84,Paid,2026-05-02,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000322,POL000046,2026-06-01,135.84,135.84,Paid,2026-06-04,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000406,POL000057,2026-04-01,277.75,277.75,Paid,2026-04-07,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000407,POL000057,2026-05-01,277.75,277.75,Paid,2026-05-02,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000408,POL000057,2026-06-01,277.75,277.75,Paid,2026-06-07,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000409,POL000058,2025-08-01,869.24,869.24,Paid,2025-08-07,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000410,POL000058,2025-09-01,869.24,869.24,Paid,2025-09-07,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000411,POL000058,2025-10-01,869.24,869.24,Paid,2025-10-05,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000412,POL000058,2025-11-01,869.24,651.93,Partial,2025-11-09,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000413,POL000058,2025-12-01,869.24,434.62,Partial,2025-12-06,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000414,POL000058,2026-01-01,869.24,869.24,Paid,2026-01-02,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00000415,POL000058,2026-02-01,869.24,869.24,Paid,2026-02-08,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00001033,POL000140,2026-02-01,254.4,254.4,Paid,2026-02-08,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00001034,POL000140,2026-03-01,254.4,254.4,Paid,2026-03-05,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00001035,POL000140,2026-04-01,254.4,254.4,Paid,2026-04-07,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00001036,POL000140,2026-05-01,254.4,254.4,Paid,2026-05-09,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00001037,POL000140,2026-06-01,254.4,254.4,Paid,2026-06-07,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00002157,POL000302,2026-03-01,79.33,79.33,Paid,2026-03-04,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00002158,POL000302,2026-04-01,79.33,79.33,Paid,2026-04-08,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
TXN00002159,POL000302,2026-05-01,79.33,79.33,Paid,2026-05-02,premiums.csv,2026-09-03 13:30:17,Referenced policy rejected during Silver processing
