transaction_id,policy_id,premium_month,premium_due,premium_paid,payment_status,payment_date,source_file,load_timestamp
TXN00000001,POL000001,2025-12-01,142.08,142.08,Paid,2025-12-07,premiums.csv,2026-09-03 13:30:17
TXN00000002,POL000001,2026-01-01,142.08,142.08,Paid,2026-01-09,premiums.csv,2026-09-03 13:30:17
TXN00000003,POL000001,2026-02-01,142.08,142.08,Paid,2026-02-09,premiums.csv,2026-09-03 13:30:17
TXN00000004,POL000001,2026-03-01,142.08,142.08,Paid,2026-03-09,premiums.csv,2026-09-03 13:30:17
TXN00000005,POL000001,2026-04-01,142.08,142.08,Paid,2026-04-04,premiums.csv,2026-09-03 13:30:17
TXN00000006,POL000001,2026-05-01,142.08,142.08,Paid,2026-05-08,premiums.csv,2026-09-03 13:30:17
TXN00000007,POL000001,2026-06-01,142.08,142.08,Paid,2026-06-02,premiums.csv,2026-09-03 13:30:17
TXN00000008,POL000002,2025-12-01,89.0,89.0,Paid,2025-12-06,premiums.csv,2026-09-03 13:30:17
TXN00000009,POL000002,2026-01-01,89.0,89.0,Paid,2026-01-02,premiums.csv,2026-09-03 13:30:17
TXN00000010,POL000002,2026-02-01,89.0,89.0,Paid,2026-02-04,premiums.csv,2026-09-03 13:30:17
TXN00000011,POL000002,2026-03-01,89.0,44.5,Partial,2026-03-03,premiums.csv,2026-09-03 13:30:17
TXN00000012,POL000002,2026-04-01,89.0,89.0,Paid,2026-04-03,premiums.csv,2026-09-03 13:30:17
TXN00000013,POL000002,2026-05-01,89.0,89.0,Paid,2026-05-03,premiums.csv,2026-09-03 13:30:17
TXN00000014,POL000002,2026-06-01,89.0,89.0,Paid,2026-06-09,premiums.csv,2026-09-03 13:30:17
TXN00000015,POL000003,2026-02-01,127.68,127.68,Paid,2026-02-04,premiums.csv,2026-09-03 13:30:17
TXN00000016,POL000003,2026-03-01,127.68,127.68,Paid,2026-03-03,premiums.csv,2026-09-03 13:30:17
TXN00000017,POL000003,2026-04-01,127.68,127.68,Paid,2026-04-09,premiums.csv,2026-09-03 13:30:17
TXN00000018,POL000003,2026-05-01,127.68,127.68,Paid,2026-05-04,premiums.csv,2026-09-03 13:30:17
TXN00000019,POL000003,2026-06-01,127.68,127.68,Paid,2026-06-03,premiums.csv,2026-09-03 13:30:17
TXN00000020,POL000004,2026-04-01,444.36,444.36,Paid,2026-04-05,premiums.csv,2026-09-03 13:30:17
TXN00000021,POL000004,2026-05-01,444.36,444.36,Paid,2026-05-07,premiums.csv,2026-09-03 13:30:17
TXN00000022,POL000004,2026-06-01,444.36,444.36,Paid,2026-06-05,premiums.csv,2026-09-03 13:30:17
TXN00000023,POL000005,2025-08-01,111.75,111.75,Paid,2025-08-03,premiums.csv,2026-09-03 13:30:17
TXN00000024,POL000005,2025-09-01,111.75,111.75,Paid,2025-09-09,premiums.csv,2026-09-03 13:30:17
TXN00000025,POL000005,2025-10-01,111.75,111.75,Paid,2025-10-08,premiums.csv,2026-09-03 13:30:17
TXN00000026,POL000005,2025-11-01,111.75,111.75,Paid,2025-11-09,premiums.csv,2026-09-03 13:30:17
TXN00000027,POL000005,2025-12-01,111.75,111.75,Paid,2025-12-02,premiums.csv,2026-09-03 13:30:17
TXN00000028,POL000005,2026-01-01,111.75,111.75,Paid,2026-01-07,premiums.csv,2026-09-03 13:30:17
TXN00000029,POL000005,2026-02-01,111.75,111.75,Paid,2026-02-03,premiums.csv,2026-09-03 13:30:17
TXN00000030,POL000005,2026-03-01,111.75,111.75,Paid,2026-03-06,premiums.csv,2026-09-03 13:30:17
TXN00000031,POL000005,2026-04-01,111.75,111.75,Paid,2026-04-07,premiums.csv,2026-09-03 13:30:17
TXN00000032,POL000005,2026-05-01,111.75,111.75,Paid,2026-05-02,premiums.csv,2026-09-03 13:30:17
TXN00000033,POL000005,2026-06-01,111.75,111.75,Paid,2026-06-02,premiums.csv,2026-09-03 13:30:17
TXN00000034,POL000006,2025-10-01,255.5,255.5,Paid,2025-10-03,premiums.csv,2026-09-03 13:30:17
TXN00000035,POL000006,2025-11-01,255.5,255.5,Paid,2025-11-09,premiums.csv,2026-09-03 13:30:17
TXN00000036,POL000006,2025-12-01,255.5,255.5,Paid,2025-12-08,premiums.csv,2026-09-03 13:30:17
TXN00000037,POL000006,2026-01-01,255.5,255.5,Paid,2026-01-07,premiums.csv,2026-09-03 13:30:17
TXN00000038,POL000006,2026-02-01,255.5,255.5,Paid,2026-02-02,premiums.csv,2026-09-03 13:30:17
TXN00000039,POL000006,2026-03-01,255.5,255.5,Paid,2026-03-08,premiums.csv,2026-09-03 13:30:17
TXN00000040,POL000006,2026-04-01,255.5,255.5,Paid,2026-04-04,premiums.csv,2026-09-03 13:30:17
TXN00000041,POL000006,2026-05-01,255.5,255.5,Paid,2026-05-08,premiums.csv,2026-09-03 13:30:17
TXN00000042,POL000006,2026-06-01,255.5,255.5,Paid,2026-06-09,premiums.csv,2026-09-03 13:30:17
TXN00000043,POL000007,2026-01-01,508.75,508.75,Paid,2026-01-07,premiums.csv,2026-09-03 13:30:17
TXN00000044,POL000007,2026-02-01,508.75,0.0,Failed,,premiums.csv,2026-09-03 13:30:17
TXN00000045,POL000007,2026-03-01,508.75,508.75,Paid,2026-03-02,premiums.csv,2026-09-03 13:30:17
TXN00000046,POL000007,2026-04-01,508.75,508.75,Paid,2026-04-05,premiums.csv,2026-09-03 13:30:17
TXN00000047,POL000007,2026-05-01,508.75,508.75,Paid,2026-05-09,premiums.csv,2026-09-03 13:30:17
TXN00000048,POL000007,2026-06-01,508.75,508.75,Paid,2026-06-06,premiums.csv,2026-09-03 13:30:17
TXN00000049,POL000008,2026-04-01,149.0,149.0,Paid,2026-04-06,premiums.csv,2026-09-03 13:30:17
TXN00000050,POL000008,2026-05-01,149.0,149.0,Paid,2026-05-08,premiums.csv,2026-09-03 13:30:17
TXN00000051,POL000008,2026-06-01,149.0,149.0,Paid,2026-06-06,premiums.csv,2026-09-03 13:30:17
TXN00000052,POL000009,2026-04-01,819.77,819.77,Paid,2026-04-09,premiums.csv,2026-09-03 13:30:17
TXN00000053,POL000009,2026-05-01,819.77,819.77,Paid,2026-05-05,premiums.csv,2026-09-03 13:30:17
TXN00000054,POL000009,2026-06-01,819.77,819.77,Paid,2026-06-03,premiums.csv,2026-09-03 13:30:17
TXN00000055,POL000010,2026-01-01,389.06,389.06,Paid,2026-01-06,premiums.csv,2026-09-03 13:30:17
TXN00000056,POL000010,2026-02-01,389.06,389.06,Paid,2026-02-08,premiums.csv,2026-09-03 13:30:17
TXN00000057,POL000010,2026-03-01,389.06,389.06,Paid,2026-03-04,premiums.csv,2026-09-03 13:30:17
TXN00000058,POL000010,2026-04-01,389.06,389.06,Paid,2026-04-08,premiums.csv,2026-09-03 13:30:17
TXN00000059,POL000010,2026-05-01,389.06,389.06,Paid,2026-05-05,premiums.csv,2026-09-03 13:30:17
TXN00000060,POL000010,2026-06-01,389.06,389.06,Paid,2026-06-04,premiums.csv,2026-09-03 13:30:17
TXN00000061,POL000011,2026-01-01,158.67,158.67,Paid,2026-01-06,premiums.csv,2026-09-03 13:30:17
TXN00000062,POL000011,2026-02-01,158.67,158.67,Paid,2026-02-09,premiums.csv,2026-09-03 13:30:17
TXN00000063,POL000011,2026-03-01,158.67,158.67,Paid,2026-03-09,premiums.csv,2026-09-03 13:30:17
TXN00000064,POL000011,2026-04-01,158.67,158.67,Paid,2026-04-04,premiums.csv,2026-09-03 13:30:17
TXN00000065,POL000011,2026-05-01,158.67,158.67,Paid,2026-05-02,premiums.csv,2026-09-03 13:30:17
TXN00000066,POL000011,2026-06-01,158.67,158.67,Paid,2026-06-02,premiums.csv,2026-09-03 13:30:17
